"","passive","c1","c2","c3","part_id","sent_id"
"286",0,-0.25,-0.333333333333333,0.5,288,67
"287",0,-0.25,-0.333333333333333,0.5,64,67
"288",0,-0.25,-0.333333333333333,0.5,256,67
"289",0,-0.25,-0.333333333333333,-0.5,0,7
"290",1,-0.25,-0.333333333333333,-0.5,928,7
"291",0,-0.25,-0.333333333333333,-0.5,704,7
"292",0,-0.25,-0.333333333333333,-0.5,576,7
"293",0,-0.25,-0.333333333333333,-0.5,896,7
"294",0,-0.25,-0.333333333333333,-0.5,320,7
"295",0,-0.25,-0.333333333333333,-0.5,736,7
"296",0,-0.25,-0.333333333333333,-0.5,256,7
"297",0,-0.25,-0.333333333333333,-0.5,288,7
"298",1,-0.25,-0.333333333333333,-0.5,448,7
"299",0,-0.25,-0.333333333333333,-0.5,1088,7
"300",1,-0.25,-0.333333333333333,-0.5,992,7
"301",0,-0.25,-0.333333333333333,-0.5,672,7
"302",0,-0.25,-0.333333333333333,-0.5,480,7
"303",0,-0.25,-0.333333333333333,-0.5,1248,7
"304",0,-0.25,-0.333333333333333,-0.5,64,7
"305",1,-0.25,-0.333333333333333,-0.5,1152,7
"306",0,-0.25,-0.333333333333333,-0.5,1024,7
"307",0,0.75,0,0,1024,71
"308",0,0.75,0,0,672,71
"309",0,0.75,0,0,992,71
"310",0,0.75,0,0,320,71
"311",0,0.75,0,0,1088,71
"312",0,0.75,0,0,1248,71
"313",0,0.75,0,0,736,71
"314",0,0.75,0,0,704,71
"315",0,0.75,0,0,576,71
"316",0,0.75,0,0,0,71
"317",0,0.75,0,0,928,71
"318",0,0.75,0,0,1152,71
"319",0,0.75,0,0,448,71
"320",0,0.75,0,0,480,71
"321",0,0.75,0,0,896,71
"322",0,0.75,0,0,64,71
"323",0,0.75,0,0,288,71
"324",0,0.75,0,0,256,71
"325",0,-0.25,-0.333333333333333,0.5,1024,75
"326",0,-0.25,-0.333333333333333,0.5,0,75
"327",0,-0.25,-0.333333333333333,0.5,1152,75
"328",0,-0.25,-0.333333333333333,0.5,320,75
"329",0,-0.25,-0.333333333333333,0.5,672,75
"330",0,-0.25,-0.333333333333333,0.5,704,75
