"","X","model","prime_type","prop_passive","se_passive","n","train","reanalysis","sd","giveup"
"147",147,"ep","prog_rrc",0.0959232613908873,0.00416341175774458,5004,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"148",148,"ep","rrc",0.271382893685052,0.00628674238871919,5004,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"149",149,"wd","amv",0.0479930191972077,0.00282403250557062,5730,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"150",150,"wd","urc",0.0762652705061082,0.00350669207923684,5730,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"151",151,"wd","prog_rrc",0.163525305410122,0.00488629267983606,5730,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"152",152,"wd","rrc",0.22478184991274,0.00551509725745754,5730,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"153",153,"wd2","amv",0.0246993127147766,0.00227484524166176,4656,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"154",154,"wd2","urc",0.0584192439862543,0.00343753327235779,4656,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"155",155,"wd2","prog_rrc",0.150773195876289,0.00524462057335325,4656,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"156",156,"wd2","rrc",0.214347079037801,0.00601470465823845,4656,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"157",157,"ep","amv",0,0,468,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"158",158,"ep","urc",0,0,468,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"159",159,"ep","prog_rrc",0.00427350427350427,0.00301858675993521,468,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"160",160,"ep","rrc",0.179487179487179,0.0177582825557424,468,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"161",161,"wd","amv",0.00847457627118644,0.00198946327452485,2124,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"162",162,"wd","urc",0.0174199623352166,0.0028394392219879,2124,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"163",163,"wd","prog_rrc",0.0941619585687382,0.00633852229418461,2124,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"164",164,"wd","rrc",0.141713747645951,0.00756914931631215,2124,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"165",165,"wd2","amv",0.00678294573643411,0.00180709773443461,2064,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"166",166,"wd2","urc",0.0218023255813953,0.00321525268384289,2064,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"167",167,"wd2","prog_rrc",0.103197674418605,0.00669782358111936,2064,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
